,AMD16_Normal,AMD16_Reordered,AMD64_Normal,AMD64_Reordered,AMD48_Normal,AMD48_Reordered,AMD128_Normal,AMD128_Reordered,SKY32_Normal,SKY32_Reordered,ICE72_Normal,ICE72_Reordered,ARM_Normal,ARM_Reordered,HUA_Normal,HUA_Reordered
./GHS_indef/boyd2/boyd2.mtx,0.00023173,0.00016515,0.00023969,0.00013526,0.00023519,0.00015736,0.00022393,0.00014316,0.00030856,0.00019991,0.00025698,0.00014086,0.00064339,0.00038289,0.00058253,0.00030843
./GHS_indef/sparsine/sparsine.mtx,9.021E-05,0.00011492,3.769E-05,4.442E-05,7.388E-05,7.009E-05,5.742E-05,5.551E-05,6.373E-05,7.821E-05,2.65E-05,3.47E-05,0.00013513,0.00010246,0.00019116,0.00016743
./VanVelzen/std1_Jac2/std1_Jac2.mtx,0.00013989,0.00033156,7.214E-05,0.00024238,6.603E-05,0.00017168,5.081E-05,0.00014734,0.00012099,0.00043022,6.506E-05,0.00021554,0.00014496,0.00063453,0.00019035,0.00027943
./VanVelzen/std1_Jac3/std1_Jac3.mtx,0.00016446,0.00041124,8.408E-05,0.00026003,7.636E-05,0.00027981,5.632E-05,0.00015066,0.00014228,0.00038016,7.705E-05,0.00023871,0.00017584,0.00066965,0.00019511,0.00028348
./VanVelzen/Zd_Jac2/Zd_Jac2.mtx,0.00016135,0.00063612,8.216E-05,0.00028361,7.582E-05,0.00025871,5.396E-05,0.00020317,0.0001345,0.0005533,7.767E-05,0.00028739,0.00016589,0.00067925,0.00020149,0.00037405
./VanVelzen/Zd_Jac3/Zd_Jac3.mtx,0.0001887,0.00025946,9.659E-05,0.00012534,7.676E-05,0.00013883,5.16E-05,0.00011998,0.00015608,0.00023722,9.195E-05,0.00012853,0.00019576,0.0003161,0.00020168,0.00021577
./VanVelzen/Zd_Jac6/Zd_Jac6.mtx,0.00018415,0.00054144,9.292E-05,0.00034059,8.462E-05,0.00029839,5.945E-05,0.00017979,0.00015521,0.00073948,7.889E-05,0.0002773,0.00018878,0.00070299,0.00020185,0.00042219
./PARSEC/CO/CO.mtx,0.0004044,0.00039181,0.00013005,0.00014489,0.00017429,0.00017667,0.00015432,0.00014341,0.00037147,0.00040144,0.00013819,0.00012601,0.00035302,0.00038241,0.00037582,0.00030371
./PARSEC/Ga10As10H30/Ga10As10H30.mtx,0.00048236,0.00065436,0.00019327,0.00047044,0.00017427,0.00033745,0.00015415,0.00028241,0.00045977,0.00070135,0.0001803,0.00030626,0.00052466,0.00111555,0.00030079,0.00058785
./PARSEC/Ga19As19H42/Ga19As19H42.mtx,0.00080195,0.00081233,0.00035902,0.0011511,0.00025748,0.000334,0.00021836,0.00027846,0.00069753,0.00112922,0.00028923,0.00048648,0.00078748,0.00143464,0.00046678,0.00070496
